,mean,std,t_statistic,p_value
Intelligence,4.685823754789272,1.6364097050140922,46.26090843767406,1.722348082135419e-127
Kindness,5.647509578544061,2.547676831053111,35.81235593891125,1.622322794832909e-102
Sophistication,4.727969348659004,2.1137697128724504,36.135763499529546,2.3130866680689056e-103
Aggression,4.482758620689655,2.6070705736760025,27.778757744534484,8.777007749005404e-80
Emotional,6.647509578544061,1.408177875054325,76.26437385138715,5.988484990695828e-180
Laziness,5.517241379310345,2.562430046919933,34.78485683233561,8.545864427262924e-100
Factual,5.333333333333333,2.7202941017470885,31.674015268722137,3.139604531083641e-91
