,mean,std,t_statistic,p_value
Intelligence,5.019157088122605,1.7174491533839307,47.213604069468424,1.507563370179422e-129
Kindness,6.0727969348659006,2.5747418528089283,38.10441691329553,2.1004729051531155e-108
Sophistication,5.053639846743295,2.037389961300028,40.072863763276786,2.879960064805103e-113
Aggression,4.118773946360153,2.4832655358982727,26.795696453530386,9.172516430563755e-77
Emotional,6.773946360153257,1.3238388747662875,82.66599109477174,1.0849759543647355e-188
Laziness,5.091954022988506,2.5523692639225315,32.23006795106541,8.494825816956539e-93
Factual,5.333333333333333,2.949576240750525,29.21186973360886,4.330550483218446e-84
