,mean,std,t_statistic,p_value
Intelligence,4.446949602122016,1.7356422909491793,70.35381571134512,0.0
Kindness,4.820954907161804,2.6806148113610497,49.38378001624326,2.3318238726564573e-238
Sophistication,4.348806366047746,2.100168818146231,56.85930378347454,1.048457168322379e-274
Aggression,5.676392572944297,2.493827649421228,62.501675587817545,3.065791896885204e-300
Emotional,6.395225464190982,1.477688340247868,118.83891733920086,0.0
Laziness,4.728116710875332,2.403865834547325,54.008689105743535,3.407149928354253e-261
Factual,5.045092838196286,2.8561033744235393,48.5043750122176,6.920151467457534e-234
